Date,State,Dead,Injured,Total,Description
02/04/2022,North Carolina,1,3,4,"Four people were shot behind a bar, one fatally, just after midnight."
01/04/2022,South Carolina,0,5,5,An argument led to a gunfight that injured five near midnight.
31/03/2022,Pennsylvania,2,2,4,"Police officers responding to a home robbery were fired upon by the suspect, who wounded two, and killed one. Officers returned fire and killed the suspect."
29/03/2022,New York,0,4,4,"A motorist fleeing a traffic stop opened fire as he was being pursued by police, wounding three officers, before being shot by an officer at the end of a car chase."
28/03/2022,Oregon,0,4,4,"A shooting during an illegal street-racing event in the St. Johns neighborhood wounded four, including two teenagers, and one child. The suspect, an adult male, was also injured."
27/03/2022,Louisiana,2,2,4,"A shooting at an intersection in the Little Woods neighborhood killed two, and injured two others."
26/03/2022,California,2,3,5,"A drive-by shooting in northern Hollister killed two, and injured three."
26/03/2022,Ohio,0,4,4,A shooting at a downtown nightclub during the early morning hours wounded four.
26/03/2022,Virginia,0,4,4,"An argument between two groups of people outside a bar in Northwest Virginia Beach just after midnight led to a shooting that injured four. Officers nearby responded and fired at one of the shooters, but they escaped uninjured."
25/03/2022,Colorado,2,2,4,"A fight outside The Citadel mall during the late evening escalated into a shooting that killed two, and wounded two others."
23/03/2022,Arizona,0,5,5,"An argument between two groups of people at a Tanger Outlets mall led to a shooting that injured five, including a child and two teenagers."
23/03/2022,New York,0,4,4,"An attempted burglary at a home led to a gunfight, with two residents being injured, and two robbers being injured."
22/03/2022,California,1,3,4,"Four men, including a teenager, were shot in a parking lot just after midnight in the Valley Oak neighborhood. The teenager died as he was frantically driven to a hospital by a family member."
21/03/2022,Illinois,2,2,4,Four men were shot by someone who approached them and opened fire as they stood on the sidewalk in the South Shore neighborhood. Two of the victims later died from their injuries.
21/03/2022,Connecticut,0,4,4,Four people were shot outside of a bar after an altercation.
20/03/2022,Texas,0,10,10,"Crossfire between two gunmen injured 10 victims from a crowd of 1,000 spring break celebration attendees at the 'Space Dallas' party hall."
20/03/2022,Wisconsin,0,4,4,"An argument at a party led to someone opening fire, wounding four people, in the Franklin Heights neighborhood."
20/03/2022,Texas,1,3,4,"Four teenagers were shot outside another teen's birthday party being held at a production studio, with one dying from their injuries. The shooting was sparked by an argument in the parking lot of the studio."
20/03/2022,Texas,0,4,4,Four people were shot at the annual SXSW festival in Downtown Austin.
19/03/2022,North Carolina,3,2,5,"Five people were shot, three fatally, in the parking lot of a Baymont Inn in the Terry Sanford neighborhood."
19/03/2022,Texas,0,10,10,Ten people were shot during a drive-by shooting outside a party venue in the South Dallas neighborhood.
19/03/2022,Arkansas,1,26,27,"A gunfight between two people at a car show killed one bystander, and wounded 26 others, including five children."
19/03/2022,Virginia,1,4,5,"During the early morning hours, five people were shot. A woman was found dead by responding police."
19/03/2022,Virginia,2,3,5,"Five people were shot, one fatally, during the early morning hours in Downtown Norfolk."
18/03/2022,Louisiana,0,5,5,"Five people, including a baby, were shot in a drive by shooting. The baby and another person were critically injured."
18/03/2022,Texas,1,3,4,"Four people were shot at a party being hosted at a house in the Far Greater Northside Historical neighborhood, with one dying."
17/03/2022,Michigan,0,4,4,Gunfire erupted at a party being held in a parking lot being held in the Eastside neighborhood. Four people were injured.
17/03/2022,Florida,2,2,4,"As a Broward County Transit bus traveled westward along Broward Boulevard to the Fort Lauderdale Police Department, a shooter opened fire inside, killing two, and wounding two others. The shooting caused the bus driver to hop the median and drive on the wrong side of the road as she drove frantically towards the police station, striking an SUV and taxi cab along the way, injuring three others. The shooter surrendered to responding police."
17/03/2022,Illinois,0,4,4,"Four people were shot in a drive-by shooting in the West Garfield Park neighborhood, including a child."
16/03/2022,New Jersey,1,3,4,"A shooter opened fire on a group of men standing outside a market in northern Irvington during the late-night hours, killing one, and injuring three."
15/03/2022,Alabama,0,5,5,"As a car idled at an intersection, another car pulled up to it and someone inside opened fire, wounding five people inside."
15/03/2022,Hawaii,1,3,4,"An attempted negotiation between a man and suspected thieves, who he thought stole a gun and cash from his car three days earlier, escalated into a gun battle after one of the suspects shot the man before the man returned fire and killed the suspect. As an employee of the man tried to render first-aid to the first suspect, a second suspect shot them before being shot themselves."
14/03/2022,New Mexico,2,4,6,"A man shot three people, killing one, in the Glenwood Hills neighborhood. Responding police were attacked by the shooter, who injured two officers, before being shot and killed himself."
14/03/2022,Pennsylvania,1,3,4,"A fight among a large group of teenagers at a park in southwest Reading led to gunfire, wounding three, and killing one. All of the victims were students of Governor Mifflin School District."
13/03/2022,Illinois,0,7,7,"A car pulled up to a group of people outside a Little Caesars in South Chicago and someone in the vehicle opened fire, wounding seven people."
13/03/2022,South Carolina,1,4,5,"An early morning shooting during a party being held at an apartment lead to the death of a woman, and injuries to four others, including two teenagers. The apartment complex is located just off the campus of the University of South Carolina, but no students were shot."
13/03/2022,New York,2,2,4,"In the early morning hours at a hookah bar, four people were shot—two fatally, in the Brown Square neighborhood."
12/03/2022,Alabama,1,3,4,"Four people were shot, one fatally, in the evening hours in the central part of the city."
12/03/2022,Maryland,3,1,4,Police responding to a shots fired call found a car in the middle of an intersection between the Gwynn Oak and Howard Park neighborhoods with four men shot inside. Three of the men were pronounced dead at a hospital.
11/03/2022,Ohio,1,3,4,"Four people were shot, including a security guard, shortly after midnight after a fight broke out at a bar. One of the victims died from their injuries."
09/03/2022,Colorado,1,3,4,Four people were shot at a Quality Inn hotel near the pool in the Peterson neighborhood. A teen boy was found dead by responding police.
08/03/2022,Florida,1,4,5,Five teenagers were shot by an attacker while they sat in a car in the Oceanway neighborhood. One of the teenagers died from their injuries.
08/03/2022,Missouri,3,1,4,"Police officers responding to a disturbance at Northpark Mall were fired upon by a shooter, leaving two officers injured. The perpetrator then fled the scene westward where another shooting between officers and the shooter occurred, leaving another officer injured as well as the attacker. One of the officers, as well as the attacker, died at a hospital later the same day, while another officer died a few days later."
07/03/2022,Tennessee,0,4,4,"Three people were shot in a car in northwest Knoxville, with a fourth person also being shot a short distance away."
06/03/2022,Kentucky,0,4,4,Four people who were dining inside a seafood restaurant in the Phoenix Hill neighborhood were shot in a drive-by shooting.
06/03/2022,Texas,0,4,4,Four people were shot in the Parkway and Cherry Point neighborhood in the early morning hours.
06/03/2022,Minnesota,1,3,4,"In the early morning hours, an argument at a home in the Whittier neighborhood escalated into a shooting that killed one, and injured three."
06/03/2022,Pennsylvania,1,4,5,"A fight between a group of people spiraled into a shooting that injured five teenagers, one of whom died at a hospital."
06/03/2022,Louisiana,0,4,4,A fight at a party being hosted at an OYO Rooms hotel led to four people being shot shortly after midnight.
06/03/2022,South Carolina,2,3,5,"Half an hour after midnight a man shot five people, killing two. The perpetrator escaped the scene of the shooting, leading to a manhunt."
05/03/2022,Arizona,1,3,4,"A shooting injured three, including a teenager, and killed a man in eastern Glendale."
05/03/2022,Georgia,0,4,4,"After a failed car chase to capture car thieves, the criminals crashed the car into the patrol car of another officer who hadn't participated in the earlier car chase. The occupants of the stolen car exited the vehicle and opened fire on the deputy, wounding him. The officer returned fire and wounded the two attackers. A bystander who was in an automotive shop nearby was struck in the leg by gunfire."
05/03/2022,Georgia,0,4,4,"Four people were shot when someone in a car opened fire on another car on I-75, wounding three people inside. Another car, whose occupants were not the intended target, was also shot, and one person inside was injured. A fifth victim was also struck by gunfire but was not injured."
03/03/2022,Nevada,1,6,7,"A dispute between neighbors led to a shooting that injured seven, one fatally, near the Las Vegas Strip."
02/03/2022,Maryland,1,3,4,Four men were shot in the Walbrook neighborhood. One of the victims was found dead in an alleyway by responding police.
28/02/2022,California,5,0,5,"A man fatally shot his three children and the children's chaperone, before shooting himself, at a church during a supervised visit. A restraining order against the father prevented him from seeing his children, except for four-hour sessions, in which a friend of the mother had to be present."
27/02/2022,California,0,4,4,An argument between two groups of people at a Dave and Buster's late Sunday night led to shooting that injured four. All of the victims were members of the two groups.
27/02/2022,Louisiana,0,4,4,An argument at a business in the southeast part of the city led to four people being shot.
26/02/2022,South Carolina,1,3,4,"Four people were shot in the southern part of the city, and one victim died at a hospital later the same day."
26/02/2022,Louisiana,0,10,10,"After the conclusion of a parade, a man fired at people in front of a store from his car, wounding several. Multiple people in the crowd fired back, seriously wounding the attacker."
26/02/2022,New Mexico,1,3,4,"An exchange of gunfire between people in southwest Albuquerque led to four people being shot, and one victim dying from their injuries."
26/02/2022,Nevada,1,13,14,"An argument between two men at a hookah bar east of the Las Vegas strip led to the two men opening fire on each other. The subsequent shooting resulted in the death of one, and injuries to thirteen others."
25/02/2022,Louisiana,2,2,4,"A shooter inside a car opened fire on the occupants of another car near the entrance of the Mall of Louisiana, killing two of the people inside, and wounding the other two."
24/02/2022,Texas,4,0,4,"Four people were shot and killed in a murder–suicide, including two children in northeastern Granbury."
24/02/2022,Texas,0,4,4,A shooter opened fire on three people inside a car in the Serna Station neighborhood. A fourth person who was not targeted by the shooter was also struck by gunfire.
23/02/2022,Georgia,0,4,4,"A man shot another man at a home in northern Claxton. When two family members of the victim arrived on the scene to check on him, the shooter shot them in their car, and was promptly shot by responding police."
22/02/2022,Georgia,1,3,4,"A man ambushed another man, some of his family members, and a neighbor who was a police officer in the victim's backyard due to a feud with his target. The deputy, who was not shot, returned fire and killed the shooter."
21/02/2022,Minnesota,1,3,4,"Multiple shooters opened fire outside a funeral home hosting a memorial for a gun violence victim in the West Side neighborhood, resulting in the death of a man, and injuries to three others."
20/02/2022,Nebraska,0,4,4,"A shooting at a grocery store in the Prospect Hill neighborhood left four injured, including a teenager."
20/02/2022,Oregon,1,3,4,"Four people were shot in a car in southeast Portland, with the female driver being killed. Among the injured were two young children."
20/02/2022,Mississippi,1,4,5,A child was killed in a drive-by shooting targeting a group of people playing basketball at a park. Four others were injured.
19/02/2022,Oregon,1,5,6,"Normandale Park shooting: Near an racial justice protest, a man allegedly confronted a group of protestors and engaged in an argument with them, before pulling out a gun and opening fire, killing one and wounding four others. One of the people in the group allegedly returned fire and wounded the perpetrator."
19/02/2022,Alabama,0,4,4,"A shooter opened fire in the food court of University Mall, shooting and injuring a woman. Three others were injured by shrapnel or bullet fragments."
19/02/2022,Missouri,2,14,16,"An argument at a party being held at an abandoned building led to a shooting that injured fourteen, and killed two."
19/02/2022,California,0,7,7,A man shot seven people outside a bar in the early morning hours in a targeted shooting perpetrated against one of the victims.
